Dot Point Measurements

Generated: Tuesday 12 September 2023 18:23:44

Filename	Frame	Time (HMS)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	CATAMI_L6_L7	AMC	FieldOfView	Relief	uuid	Radius %
M_1.jpg	      0		587	2069	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	39.8
M_1.jpg	      0		1077	3192	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	66.0
M_1.jpg	      0		1013	3239	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	69.1
M_1.jpg	      0		711	1998	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	33.1
M_1.jpg	      0		597	3743	May 2023	Murray AMP							Justin Hulls				Bryozoa > Hard	Fenestrate			Bryozoa Adeona Grisea	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	ca663668-10bd-4142-8dab-5fd8beadb790	100.0
M_1.jpg	      0		983	3419	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	78.3
M_1.jpg	      0		853	3004	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	60.6
M_1.jpg	      0		684	3614	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	92.3
M_1.jpg	      0		838	3560	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	87.1
M_1.jpg	      0		809	3118	May 2023	Murray AMP							Justin Hulls				Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)		Unidentifiable	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	15d00e66-d16c-4ffa-9790-144b7e4bc2da	66.8
