Dot Point Measurements																															
																															
Generated: Thursday 17 November 2022 14:27:08																															
																															
Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Frame info 1	Frame info 2	Frame info 3	Frame info 4	Frame info 5	Frame info 6	BROAD	MORPHOLOGY	TYPE	RELIEF	CODE				Radius %
SKE_46_2205.jpg	0		733	1810																			Macroalgae	Erect course branching	Brown		80300904				88.3
SKE_46_2205.jpg	0		858	1153																			Macroalgae	Erect course branching	Brown		80300904				22
SKE_46_2205.jpg	0		736	769																			Macroalgae	Erect course branching	Brown		80300904				20
SKE_46_2205.jpg	0		768	1092																			Macroalgae	Erect course branching	Brown		80300904				13.9
SKE_46_2205.jpg	0		935	1197																			Macroalgae	Erect fine branching	Red		90300910				29.8
SKE_46_2205.jpg	0		586	1359																			Open Water								45.9
SKE_48_2205.jpg	0		1012	1687																			Macroalgae	Erect course branching	Brown		80300904				38.9
SKE_48_2205.jpg	0		725	1340																			Macroalgae	Erect fine branching	Red		90300910				11.7
SKE_48_2205.jpg	0		1049	1719																			Macroalgae	Erect course branching	Brown		80300904				42.6
SKE_48_2205.jpg	0		600	1105																			Macroalgae	Erect fine branching	Red		90300910				22.6
SKE_48_2205.jpg	0		948	832																			Macroalgae	Erect fine branching	Red		90300910				35.6
SKE_48_2205.jpg	0		1008	231																			Macroalgae	Erect course branching	Brown		80300904				85
SKE_48_2205.jpg	0		636	51																			Macroalgae	Erect course branching	Brown		80300904				100
SKE_48_2205.jpg	0		796	1545																			Macroalgae	Erect fine branching	Red		90300910				24.5
SKE_48_2205.jpg	0		684	1554																			Macroalgae	Erect fine branching	Red		90300910				27.9
SKE_48_2205.jpg	0		928	929																			Macroalgae	Erect fine branching	Red		90300910				27.5
SKE_48_2205.jpg	0		1072	1614																			Macroalgae	Erect course branching	Brown		80300904				35.8
SKE_48_2205.jpg	0		997	810																			Macroalgae	Erect fine branching	Red		90300910				38.6
SKE_48_2205.jpg	0		927	1509																			Macroalgae	Erect fine branching	Red		90300910				22.7
SKE_48_2205.jpg	0		756	1710																			Macroalgae	Erect fine branching	Red		90300910				38.4
SKE_48_2205.jpg	0		728	833																			Macroalgae	Erect course branching	Brown		80300904				35.4
SKE_48_2205.jpg	0		824	1814																			Macroalgae	Erect course branching	Brown		80300904				46.5
SKE_48_2205.jpg	0		698	1717																			Macroalgae	Erect fine branching	Red		90300910				40.1
SKE_48_2205.jpg	0		685	1021																			Macroalgae	Erect course branching	Brown		80300904				22.5
SKE_48_2205.jpg	0		633	1793																			Macroalgae	Erect fine branching	Red		90300910				47.7
SKE_48_2205.jpg	0		968	1175																			Macroalgae	Erect fine branching	Red		90300910				12.6
SKE_50_2205.jpg	0		758	568																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				44.6
SKE_50_2205.jpg	0		667	863																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				16.8
SKE_50_2205.jpg	0		849	885																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				12.5
SKE_50_2205.jpg	0		1055	1327																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				50.5
SKE_50_2205.jpg	0		953	1443																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				56.1
SKE_50_2205.jpg	0		583	854																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				24.8
SKE_50_2205.jpg	0		929	290																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				77.4
SKE_50_2205.jpg	0		1046	1829																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				100
SKE_50_2205.jpg	0		570	1460																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				59
SKE_50_2205.jpg	0		747	173																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				88.5
SKE_50_2205.jpg	0		701	664																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				34.9
SKE_50_2205.jpg	0		845	476																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				55.3
SKE_50_2205.jpg	0		625	1492																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				60.3
SKE_50_2205.jpg	0		601	1670																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				80.1
SKE_50_2205.jpg	0		853	1715																			Unknown								83.2
SKE_50_2205.jpg	0		764	397																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				63.6
SKE_50_2205.jpg	0		608	1124																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				25.1
SKE_50_2205.jpg	0		960	899																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				22.1
SKE_50_2205.jpg	0		651	1105																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				20.3
SKE_50_2205.jpg	0		724	162																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				89.9
SKE_51_2205.jpg	0		909	1496																			Macroalgae	Unknown			80300000				60.9
SKE_51_2205.jpg	0		704	263																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				72.7
SKE_51_2205.jpg	0		794	1240																			Consolidated	Unknown			82001000				31.7
SKE_51_2205.jpg	0		862	1355																			Macroalgae	Unknown			80300000				45.1
SKE_51_2205.jpg	0		763	745																			Consolidated	Unknown			82001000				21.1
SKE_51_2205.jpg	0		757	448																			Invertebrate Complex								52.7
SKE_51_2205.jpg	0		729	998																			Consolidated	Unknown			82001000				7
SKE_51_2205.jpg	0		860	1080																			Macroalgae	Large canopy-forming	Scytothalia dorycarpa		54102005				17.8
SKE_51_2205.jpg	0		810	1149																			Consolidated	Unknown			82001000				22.4
SKE_51_2205.jpg	0		913	1650																			Macroalgae	Unknown			80300000				76.9
SKE_51_2205.jpg	0		572	1091																			Macroalgae	Erect fine branching	Red		90300910				25.9
