Filename,Frame,Time (mins),Image row,Image col,Date,Location,Site #,Transect #,Latitude,Longitude,Rugosity,Depth,Collector,Fishing status,Spare,Spare,C1,C2,C3,C4,AMC,FOV,Relief,,Radius %
Z_1.jpg,Z_1,,818,1229,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,38.7
Z_1.jpg,Z_1,,757,691,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,61.2
Z_1.jpg,Z_1,,601,241,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,83.5
Z_1.jpg,Z_1,,910,148,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,82.5
Z_1.jpg,Z_1,,998,91,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,84.1
Z_1.jpg,Z_1,,574,1830,,,Z_1,Z_1,,,,,,,,,Matrix > Bryozoa / Cnidaria Matrix,,,,Unidentifiable,Limited,,64e14508-e2ce-453a-b284-1d6c04ff5df0,37.7
Z_1.jpg,Z_1,,827,169,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,82.6
Z_1.jpg,Z_1,,998,906,,,Z_1,Z_1,,,,,,,,,Matrix > Bryozoa / Cnidaria Matrix,,,,Unidentifiable,Limited,,64e14508-e2ce-453a-b284-1d6c04ff5df0,47.1
Z_1.jpg,Z_1,,939,1161,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,37.7
Z_1.jpg,Z_1,,748,880,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,53.7
Z_1.jpg,Z_1,,687,2581,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,48
Z_1.jpg,Z_1,,883,3067,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,62.9
Z_1.jpg,Z_1,,1025,3734,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,91.5
Z_1.jpg,Z_1,,1002,2791,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,48.7
Z_1.jpg,Z_1,,874,2086,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,26.4
Z_1.jpg,Z_1,,1037,2528,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,36.6
Z_1.jpg,Z_1,,846,3369,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,76.9
Z_1.jpg,Z_1,,1019,3641,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,87.2
