Dot Point Measurements

Generated: Wednesday 12 July 2023 09:13:24

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site	Habitat	Transect	Analyst	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	Relief					Radius %
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1791	3717													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						85.2
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1597	2867													20221209-1	Br106					Bryozoa > Hard	Branching							42.8
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1790	3472													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						73.7
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1970	2834													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						50.1
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1918	2720													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						44.2
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1715	2385													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						25.6
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2123	3166													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						67.5
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1906	3587													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						80.8
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1670	3768													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						86.2
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2095	2904													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						56.6
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2151	2221													20221209-1	Br106					Bryozoa > Hard	Branching							41.0
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2029	3109													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						62.6
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2104	2717													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						50.4
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2107	2924													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						57.7
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2043	1862													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						35.6
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1976	405													20221209-1	Br106					Bryozoa > Soft	Foliaceous							84.9
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1642	890													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						57.4
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1668	263													20221209-1	Br106					Bryozoa > Soft	Foliaceous							87.4
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2044	876													20221209-1	Br106					Macroalgae > Erect fine branching	Red							65.9
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1638	1131													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						46.1
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1623	1092													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						47.7
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2120	1385													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						49.6
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2149	772													20221209-1	Br106					Macroalgae > Erect fine branching	Red							72.9
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1647	1653													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						23.9
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2020	129													20221209-1	Br106					Bryozoa > Soft	Foliaceous							98.2
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1974	928													20221209-1	Br106					Bryozoa > Hard	Branching							62.0
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1670	399													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						80.9
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1927	1352													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						43.9
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1621	1323													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						37.1
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1709	1144													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						46.8
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1660	1803													20221209-1	Br106					Bryozoa > Soft	Foliaceous							19.4
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1772	1346													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						39.5
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1863	1335													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						42.5
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2118	128													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						100.0
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		643	2774													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						51.4
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		562	3185													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						69.3
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		743	3772													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						90.8
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		586	3214													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						69.9
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		982	2712													20221209-1	Br10					Macroalgae > Erect fine branching	Red							39.6
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		980	3173													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						60.0
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		875	2494													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						34.1
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		591	3151													20221209-1	Br10					Macroalgae > Erect fine branching	Red							67.2
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1009	3690													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						83.6
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		953	2328													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						25.9
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		540	2663													20221209-1	Br10					Bryozoa > Soft	Foliaceous							51.3
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		840	3600													20221209-1	Br10					Bryozoa > Soft	Foliaceous							81.6
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		992	3018													20221209-1	Br10					Macroalgae > Erect fine branching	Red							52.8
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		571	2098													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						38.4
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		939	2820													20221209-1	Br10					Macroalgae > Erect fine branching	Red							45.2
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		786	2935													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						53.5
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1005	3423													20221209-1	Br10					Bryozoa > Soft	Foliaceous							71.2
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		530	3328													20221209-1	Br10					Bryozoa > Soft	Foliaceous							75.9
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		912	2327													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						27.4
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		888	3585													20221209-1	Br10					Bryozoa > Soft	Foliaceous							80.2
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		575	114													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						96.6
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1071	1243													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						37.7
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		534	1111													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						57.3
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		702	520													20221209-1	Br10					Bryozoa > Soft	Foliaceous							76.4
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1053	1087													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						45.0
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		669	2													20221209-1	Br10					Substrate > Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)						100.0
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1029	1064													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						46.4
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		652	534													20221209-1	Br10					Bryozoa > Soft	Foliaceous							76.8
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		987	941													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						52.7
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1071	965													20221209-1	Br10					Bryozoa > Soft	Foliaceous							50.3
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1076	1528													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						25.5
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1046	1503													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						27.2
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		900	657													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						66.8
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		903	1917													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						22.2
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		750	508													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						76.1
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1057	635													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						65.8
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		757	6													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						98.5
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		684	1783													20221209-1	Br10					Bryozoa > Soft	Foliaceous							33.8
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		924	949													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						53.4
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		996	1612													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						24.7
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1819	2266													20221209-1	Br10					Bryozoa > Soft	Foliaceous							25.7
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		2130	3744													20221209-1	Br10					Bryozoa > Soft	Foliaceous							92.0
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		2031	3231													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						67.9
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1593	3164													20221209-1	Br10					Matrix > Mixed Sessile Invertebrate								57.8
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1823	2398													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						29.8
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1724	2392													20221209-1	Br10					Bryozoa > Soft	Foliaceous							26.2
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		2113	3700													20221209-1	Br10					Bryozoa > Soft	Foliaceous							89.8
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1817	2124													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						22.7
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		2023	2737													20221209-1	Br10					Bryozoa > Soft	Foliaceous							48.0
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1885	3130													20221209-1	Br10					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						60.4
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1972	2893													20221209-1	Br10					Bryozoa > Soft	Foliaceous							52.5
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1714	1958													20221209-1	Br10					Bryozoa > Soft	Foliaceous							16.7
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		2143	2105													20221209-1	Br10					Bryozoa > Soft	Foliaceous							37.6
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		1933	2934													20221209-1	Br10					Bryozoa > Soft	Foliaceous							53.2
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		2001	3401													20221209-1	Br10					Bryozoa > Soft	Foliaceous							74.6
20221209-1_Br10_01_20221209_TOP_1_0003_0001.mp4_0010391.jpg	      0		2142	2109													20221209-1	Br10					Bryozoa > Soft	Foliaceous							37.7
