"campaignid","sample","longitude","latitude","location","planned.or.exploratory","broad.ascidians","broad.bryozoa","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","total.points.annotated","broad.consolidated","broad.hydroids","depth","broad.crinoids","broad.invertebrate.complex","broad.seagrasses","broad.stony.corals","broad.true.anemones","broad.seagrasses_amphibolis.sp.","broad.seagrasses_posidonia.sp.","broad.seagrasses_halophila.sp.","broad.seagrasses_rupia.sp.","broad.seagrasses_zostera.sp.","broad.echinodermata","broad.sea.stars","broad.zoanthids","broad.seagrasses_thalassodendron.sp."
"2021-06-ApolloMP_stereoBRUVs","APO_041","143.6121707","-38.92831938","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_042","143.6211445","-38.92655138","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_043","143.6126475","-38.92256159","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_044","143.6242993","-38.92342275","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_045","143.6216389","-38.91308211","Apollo CMR","MBH","20","0","4","0","1","0","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_046","143.6161287","-38.9159008","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_047","143.6251699","-38.91685677","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_048","143.6190174","-38.92014837","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_049","143.6269818","-38.92032968","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_050","143.6074832","-38.9180188","Apollo CMR","MBH","18","2","4","0","1","0","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","1","147.099","-39.0782","Beagle AMP","MBH","0","1","0","0","1","0",NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","2","147.116","-39.3455","Beagle AMP","MBH","0","1","0","0","2","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","3","146.971","-39.411","Beagle AMP","MBH","0","0","0","0","2","0",NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","4","147.129","-39.3517","Beagle AMP","MBH","0","2","0","5","3","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","6","147.503","-39.5697","Beagle AMP","MBH","0","3","0","0","9","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","7","147.154","-39.3711","Beagle AMP","MBH","0","2","0","1","5","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","8","147.162","-39.0838","Beagle AMP","MBH","0","1","0","0","3","0",NA,"0","3",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","9","147.483","-39.5266","Beagle AMP","MBH","0","1","0","0","5","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
