campaignid,sample,broad.ascidians,broad.bryozoa,broad.consolidated,broad.crinoids,broad.hydroids,broad.invertebrate.complex,broad.macroalgae,broad.octocoral.black,broad.reef,broad.seagrasses,broad.sponges,broad.stony.corals,broad.total.points.annotated,broad.true.anemones,broad.unconsolidated,fov.facing.up,fov.limited,fov.open,mean.relief,method,sd.relief,planned.or.exploratory,latitude,longitude,date,time,location,site,depth,successful.count,successful.length,commonwealth.zone,state.zone,status
2020-10_south-west_stereo-BRUVs,FH17,0,0,1,0,0,0,17,0,22,0,4,0,35,0,13,0,2,38,1.846153846,BRUV,0.464095481,MBH,-33.83368897,114.8763721,20201012,15:35:00,South-west,C.FH.14,42.9,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH18,0,0,3,0,0,0,9,0,12,0,0,0,22,0,10,0,2,38,2,BRUV,0.794719414,MBH,-33.79118897,114.8213721,20201012,13:19:00,South-west,C.FH.12,43.5,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH2,0,0,4,0,0,0,3,0,15,7,1,0,21,0,6,0,5,35,2.4,BRUV,0.707106781,MBH,-33.91868897,114.8913721,20201029,12:43:00,South-west,C.FH.21,43.9,Yes,No,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH20,0,0,8,0,0,0,9,0,18,1,0,0,30,0,12,0,0,40,2.05,BRUV,0.604805319,MBH,-33.78618897,114.8738721,20201017,11:40:00,South-west,C.FH.11,43.1,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH21,0,0,10,0,0,0,16,0,35,5,4,0,37,0,2,0,1,39,2.64,BRUV,0.489897949,MBH,-33.79368897,114.8088721,20201012,13:26:00,South-west,C.FH.12,45,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH23,0,0,8,0,0,0,2,0,20,10,0,0,29,0,9,0,7,33,2.48,BRUV,0.653197265,MBH,-33.94618897,114.8288721,20201013,9:51:00,South-west,C.FH.22,44.2,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH24,0,0,1,0,0,0,11,0,13,0,1,0,35,0,22,0,1,39,1.6,BRUV,0.50262469,MBH,-33.66868897,114.8438721,20201012,7:55:00,South-west,C.FH.1,47.6,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH25,0,3,6,0,0,0,7,0,24,5,3,0,32,0,8,0,1,37,2.32,BRUV,0.690410506,MBH,-33.87868897,114.8163721,20201013,7:34:00,South-west,C.FH.16,45.4,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH26,0,0,7,0,0,0,5,0,14,0,2,0,14,0,0,0,6,14,2.4375,BRUV,0.512347538,MBH,-33.81118897,114.8288721,20201012,15:10:00,South-west,C.FH.13,44.1,Yes,check calibration,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH27,0,0,9,0,0,0,5,0,20,1,5,0,23,0,3,0,4,36,2.25,BRUV,0.638666374,MBH,-33.83618897,114.8713721,20201012,15:39:00,South-west,C.FH.14,42.9,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
