"","x","y","inclusion.probabilities","ID","DropC"
"30802",-710310.121387288,-3702776.82674263,1,491101,30802
"30803",-1239084.25056683,-3902102.19758684,1,2241713,30803
"30804",-854628.787516827,-3770795.87020579,1,1088613,30804
"30805",-878583.320214558,-3887315.44900789,1,2112932,30805
"30806",-1118720.11713502,-3931084.22480158,1,2496920,30806
"30807",-1022606.25137252,-3872824.43540053,1,1985045,30807
"30808",-638150.788322519,-3741813.84299105,1,834545,30808
"30809",-746389.787919673,-3722295.33486684,1,662579,30809
"30810",-1226959.11673217,-3940843.47886368,1,2582354,30810
"30811",-842503.653682173,-3809832.88645421,1,1431854,30811
"30812",-674230.454854904,-3664035.54546579,1,150623,30812
"30813",-914662.986746942,-3868092.67585526,1,1943810,30813
"30814",-1010776.85250944,-3911565.71667737,1,2325685,30814
"30815",-1193836.79991556,-3905355.28227421,1,2270466,30815
"30816",-809381.336865558,-3774048.95489316,1,1117366,30816
"30817",-905495.202628058,-3861586.50648053,1,1886641,30817
"30818",-665358.405707596,-3715789.16549211,1,605653,30818
"30819",-881540.669930327,-3745066.92767842,1,862322,30819
"30820",-929449.735325788,-3919846.29588158,1,2398760,30820
"30821",-1182007.40105248,-3944096.56355105,1,2611106,30821
"30822",-797551.938002481,-3813085.97114158,1,1460606,30822
"30823",-1085893.53528998,-3885836.77415,1,2099231,30823
"30824",-701438.072239981,-3754826.18174053,1,948731,30824
"30825",-1326030.33221044,-3973078.59076579,1,2865419,30825
"30826",-941574.869160442,-3842067.99835632,1,1714919,30826
"30827",-773301.670333173,-3696270.65736789,1,433688,30827
"30828",-1253870.99914567,-3914818.80136474,1,2353463,30828
"30829",-869415.536095673,-3783808.20895526,1,1202963,30829
"30830",-629278.739175212,-3677047.88421526,1,265175,30830
"30831",-1380149.83200902,-4012115.60701421,1,3208436,30831
"30832",-995694.368959019,-3880809.27963316,1,2055336,30832
"30833",-1091808.23472152,-3924578.05542684,1,2439811,30833
"30834",-755261.837066981,-3735307.67361632,1,776949,30834
"30835",-851375.702829481,-3822549.49023211,1,1543624,30835
"30836",-683398.238973788,-3733237.52881526,1,758992,30836
"30837",-1307990.49894425,-3951489.93784053,1,2675680,30837
"30838",-923535.03589425,-3820479.34543105,1,1525180,30838
"30839",-1211876.63318175,-3893230.14843947,1,2163805,30839
"30840",-827421.17013175,-3762219.55603,1,1013305,30840
"30841",-983569.235124365,-3936998.92423316,1,2549377,30841
"30842",-887455.369361865,-3878739.13483211,1,2037502,30842
"30843",-1127887.9012539,-3922507.91062579,1,2421489,30843
"30844",-1031774.0354914,-3902989.40250158,1,2250214,30844
"30845",-1344070.16547663,-3990526.95408895,1,3018758,30845
"30846",-959614.702426635,-3859220.62670789,1,1865658,30846
"30847",-719477.905506173,-3713719.02069105,1,587270,30847
"30848",-1200047.23431867,-3932267.16468789,1,2507045,30848
"30849",-815591.771268673,-3800960.83730684,1,1353945,30849
"30850",-813225.891496058,-3830238.59949316,1,1611353,30850
"30851",-957248.822654019,-3898257.64295632,1,2208866,30851
"30852",-1053362.68841652,-3942026.41875,1,2593341,30852
"30853",-1173726.82184833,-3883766.62934895,1,2080734,30853
"30854",-789271.358798327,-3752460.30196789,1,927634,30854
