Field1,x,y,inclusion_,ID,DropC,Latitude,Longitude,Sample
"65095",-1299414.00000000000,-3962136.00000000000,1.00000000000,54593680.00000000000,"65095",-34.53710000000,119.76100000000,Br157
"65251",-1304737.00000000000,-3940548.00000000000,1.00000000000,53575750.00000000000,"65251",-34.33750000000,119.73000000000,Br158
"66200",-1286402.00000000000,-3958883.00000000000,1.00000000000,54440340.00000000000,"66200",-34.52110000000,119.90600000000,Br159
"67211",-1301780.00000000000,-3923099.00000000000,1.00000000000,52753064.00000000000,"67211",-34.18360000000,119.78300000000,Br160
"67301",-1312427.00000000000,-3955630.00000000000,1.00000000000,54286868.00000000000,"67301",-34.46520000000,119.62800000000,Br161
"68044",-1294978.00000000000,-3971008.00000000000,1.00000000000,55012015.00000000000,"68044",-34.62140000000,119.79800000000,Br162
"68196",-1307103.00000000000,-3949124.00000000000,1.00000000000,53980118.00000000000,"68196",-34.41220000000,119.69400000000,Br163
"69142",-1291134.00000000000,-3967755.00000000000,1.00000000000,54858644.00000000000,"69142",-34.59610000000,119.84400000000,Br164
"69294",-1284627.00000000000,-3947054.00000000000,1.00000000000,53882586.00000000000,"69294",-34.41650000000,119.94000000000,Br165
"69512",-1305920.00000000000,-3960658.00000000000,1.00000000000,54523938.00000000000,"69512",-34.51710000000,119.69200000000,Br166
"69670",-1298231.00000000000,-3939956.00000000000,1.00000000000,53547884.00000000000,"69670",-34.33880000000,119.80100000000,Br167
"70620",-1283740.00000000000,-3957996.00000000000,1.00000000000,54398517.00000000000,"70620",-34.51580000000,119.93600000000,Br168
"71143",-1302667.00000000000,-3934929.00000000000,1.00000000000,53310821.00000000000,"71143",-34.28910000000,119.75900000000,Br169
"71523",-1271024.00000000000,-3952081.00000000000,1.00000000000,54119680.00000000000,"71523",-34.47540000000,120.08200000000,Br170
"71639",-1300893.00000000000,-3919551.00000000000,1.00000000000,52585739.00000000000,"71639",-34.15250000000,119.79700000000,Br171
"72454",-1301484.00000000000,-3970417.00000000000,1.00000000000,54984105.00000000000,"72454",-34.60940000000,119.72800000000,Br172
