"Lon","Lat","Site","sample","parent.sample"
114.94,-34.1347,"SWC-NPZ-BOSS-107","SWC-BV-107","107"
114.85,-34.1001,"SWC-NPZ-BOSS-108","SWC-BV-108","108"
114.741,-34.0839,"SWC-NPZ-BOSS-109","SWC-BV-109","109"
114.907,-34.0505,"SWC-NPZ-BOSS-110","SWC-BV-110","110"
114.812,-34.1035,"SWC-NPZ-BOSS-111","SWC-BV-111","111"
114.779,-34.0897,"SWC-NPZ-BOSS-112","SWC-BV-112","112"
114.78,-34.0809,"SWC-NPZ-BOSS-113","SWC-BV-113","113"
114.834,-34.0969,"SWC-NPZ-BOSS-114","SWC-BV-114","114"
114.774,-34.1013,"SWC-NPZ-BOSS-115","SWC-BV-115","115"
114.919,-34.1138,"SWC-NPZ-BOSS-116","SWC-BV-116","116"
114.76,-34.0681,"SWC-NPZ-BOSS-117","SWC-BV-117","117"
114.826,-34.0714,"SWC-NPZ-BOSS-118","SWC-BV-118","118"
114.771,-34.0634,"SWC-NPZ-BOSS-119","SWC-BV-119","119"
114.861,-34.0617,"SWC-NPZ-BOSS-120","SWC-BV-120","120"
114.853,-34.0836,"SWC-NPZ-BOSS-121","SWC-BV-121","121"
114.777,-34.0789,"SWC-NPZ-BOSS-122","SWC-BV-122","122"
114.785,-34.0614,"SWC-NPZ-BOSS-123","SWC-BV-123","123"
114.929,-34.1003,"SWC-NPZ-BOSS-124","SWC-BV-124","124"
114.847,-34.104,"SWC-NPZ-BOSS-125","SWC-BV-125","125"
114.87,-34.0912,"SWC-NPZ-BOSS-126","SWC-BV-126","126"
114.91,-34.0545,"SWC-NPZ-BOSS-127","SWC-BV-127","127"
114.823,-34.0694,"SWC-NPZ-BOSS-128","SWC-BV-128","128"
114.772,-34.0839,"SWC-NPZ-BOSS-129","SWC-BV-129","129"
114.83,-34.1213,"SWC-NPZ-BOSS-130","SWC-BV-130","130"
114.773,-34.0906,"SWC-NPZ-BOSS-131","SWC-BV-131","131"
114.808,-34.1162,"SWC-NPZ-BOSS-132","SWC-BV-132","132"
114.911,-34.075,"SWC-NPZ-BOSS-133","SWC-BV-133","133"
114.857,-34.0631,"SWC-NPZ-BOSS-134","SWC-BV-134","134"
114.77,-34.0516,"SWC-NPZ-BOSS-135","SWC-BV-135","135"
114.833,-34.0891,"SWC-NPZ-BOSS-136","SWC-BV-136","136"
114.877,-34.0854,"SWC-NPZ-BOSS-137","SWC-BV-137","137"
114.912,-34.119,"SWC-NPZ-BOSS-138","SWC-BV-138","138"
114.898,-34.0616,"SWC-NPZ-BOSS-139","SWC-BV-139","139"
114.882,-34.1163,"SWC-NPZ-BOSS-140","SWC-BV-140","140"
114.762,-34.1175,"SWC-NPZ-BOSS-141","SWC-BV-141","141"
114.814,-34.0971,"SWC-NPZ-BOSS-142","SWC-BV-142","142"
114.776,-34.0833,"SWC-NPZ-BOSS-143","SWC-BV-143","143"
114.92,-34.1221,"SWC-NPZ-BOSS-144","SWC-BV-144","144"
114.732,-34.0891,"SWC-NPZ-BOSS-145","SWC-BV-145","145"
114.79,-34.1099,"SWC-NPZ-BOSS-146","SWC-BV-146","146"
114.895,-34.0908,"SWC-NPZ-BOSS-147","SWC-BV-147","147"
114.925,-34.0518,"SWC-NPZ-BOSS-148","SWC-BV-148","148"
114.931,-34.1135,"SWC-NPZ-BOSS-149","SWC-BV-149","149"
114.917,-34.1,"SWC-NPZ-BOSS-150","SWC-BV-150","150"
