Easting,Northing,inclusion_,ID,Site,Lat,Lon
"300024","6224260",0.01366221200,"5075493",SWC-NPZ-BOSS-80,-34.10340000000,114.83200000000
"294656","6227556",0.89870777900,"9497383",SWC-NPZ-BOSS-81,-34.07260000000,114.77500000000
"293232","6224888",0.08763000900,"5916571",SWC-NPZ-BOSS-82,-34.09640000000,114.75900000000
"300612","6220860",0.08763000900,"512840",SWC-NPZ-BOSS-83,-34.13410000000,114.83800000000
"295244","6224156",0.89870777900,"4934730",SWC-NPZ-BOSS-84,-34.10340000000,114.78000000000
"293904","6227816",0.89870777900,"9846115",SWC-NPZ-BOSS-85,-34.07010000000,114.76700000000
"302960","6227208",0.01366221200,"9032443",SWC-NPZ-BOSS-86,-34.07740000000,114.86500000000
"297592","6221712",0.89870777900,"1655469",SWC-NPZ-BOSS-87,-34.12590000000,114.80500000000
"299604","6220736",0.01366221200,"346180",SWC-NPZ-BOSS-88,-34.13510000000,114.82700000000
"294740","6225132",0.89870777900,"6244396",SWC-NPZ-BOSS-89,-34.09450000000,114.77500000000
"290716","6224400",0.08763000900,"5261046",SWC-NPZ-BOSS-90,-34.10030000000,114.73100000000
"308828","6226960",0.08763000900,"8701094",SWC-NPZ-BOSS-91,-34.08070000000,114.92800000000
"307948","6224684",0.89870777900,"5646482",SWC-NPZ-BOSS-92,-34.10100000000,114.91800000000
"301240","6222484",0.08763000900,"2692405",SWC-NPZ-BOSS-93,-34.11960000000,114.84500000000
"295872","6225780",0.89870777900,"7114295",SWC-NPZ-BOSS-94,-34.08890000000,114.78700000000
"307276","6222240",0.89870777900,"2366466",SWC-NPZ-BOSS-95,-34.12290000000,114.91000000000
"294868","6224804",0.89870777900,"5804252",SWC-NPZ-BOSS-96,-34.09750000000,114.77600000000
"300904","6226068",0.89870777900,"7502049",SWC-NPZ-BOSS-97,-34.08720000000,114.84200000000
"302248","6223136",0.89870777900,"3567641",SWC-NPZ-BOSS-98,-34.11390000000,114.85600000000
"307612","6229728",0.01366221200,"12415446",SWC-NPZ-BOSS-99,-34.05550000000,114.91600000000
"301408","6225092",0.89870777900,"6192383",SWC-NPZ-BOSS-100,-34.09610000000,114.84700000000
"295368","6225456",0.89870777900,"6679361",SWC-NPZ-BOSS-101,-34.09170000000,114.78200000000
"308788","6221428",0.89870777900,"1277140",SWC-NPZ-BOSS-102,-34.13050000000,114.92600000000
"294616","6226000",0.89870777900,"7409221",SWC-NPZ-BOSS-103,-34.08660000000,114.77400000000
"308032","6221972",0.89870777900,"2006999",SWC-NPZ-BOSS-104,-34.12550000000,114.91800000000
"293272","6229660",0.89870777900,"12320605",SWC-NPZ-BOSS-105,-34.05340000000,114.76000000000
"304008","6221240",0.89870777900,"1023649",SWC-NPZ-BOSS-106,-34.13130000000,114.87500000000
"310044","6220992",0.08763000900,"692342",SWC-NPZ-BOSS-107,-34.13470000000,114.94000000000
"301660","6224656",0.08763000900,"5607334",SWC-NPZ-BOSS-108,-34.10010000000,114.85000000000
"291596","6226244",0.08763000900,"7735914",SWC-NPZ-BOSS-109,-34.08390000000,114.74100000000
"306860","6230272",0.89870777900,"13145306",SWC-NPZ-BOSS-110,-34.05050000000,114.90700000000
"298136","6224208",0.08763000900,"5005237",SWC-NPZ-BOSS-111,-34.10350000000,114.81200000000
"295120","6225672",0.89870777900,"6969171",SWC-NPZ-BOSS-112,-34.08970000000,114.77900000000
"295148","6226652",0.89870777900,"8284338",SWC-NPZ-BOSS-113,-34.08090000000,114.78000000000
"300180","6224980",0.08763000900,"6041772",SWC-NPZ-BOSS-114,-34.09690000000,114.83400000000
"294648","6224372",0.89870777900,"5224453",SWC-NPZ-BOSS-115,-34.10130000000,114.77400000000
"308064","6223272",0.89870777900,"3751607",SWC-NPZ-BOSS-116,-34.11380000000,114.91900000000
"293304","6228032",0.89870777900,"10135837",SWC-NPZ-BOSS-117,-34.06810000000,114.76000000000
"299344","6227788",0.89870777900,"9809899",SWC-NPZ-BOSS-118,-34.07140000000,114.82600000000
"294312","6228576",0.89870777900,"10866137",SWC-NPZ-BOSS-119,-34.06340000000,114.77100000000
"302612","6228944",0.08763000900,"11362068",SWC-NPZ-BOSS-120,-34.06170000000,114.86100000000
"301944","6226500",0.08763000900,"8082053",SWC-NPZ-BOSS-121,-34.08360000000,114.85300000000
"294900","6226868",0.89870777900,"8574148",SWC-NPZ-BOSS-122,-34.07890000000,114.77700000000
"295568","6228820",0.08763000900,"11193899",SWC-NPZ-BOSS-123,-34.06140000000,114.78500000000
"308988","6224792",0.08763000900,"5791678",SWC-NPZ-BOSS-124,-34.10030000000,114.92900000000
"301440","6224224",0.89870777900,"5027535",SWC-NPZ-BOSS-125,-34.10400000000,114.84700000000
