CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	Relief
Seagrasses > Elliptical leaves	Unidentifiable		*
Seagrasses > Strap-like leaves	Amphibolis sp. (Caab 63600903) 		*
Seagrasses > Strap-like leaves	Thalassodendron sp. (CAAB 63618905)  		*
Seagrasses > Strap-like leaves	Posidonia sp. (Caab 63600903) 		*
Seagrasses > Strap-like leaves	Zostera sp. (Caab 63600903)		*
Seagrasses > Strap-like leaves	Rupia sp. (Caab 63600903)		*
Seagrasses > Strap-like leaves	Unidentifiable		*
Seagrasses > 			*
Sponges > Crusts	Creeping / ramose		*
Sponges > Crusts	Encrusting		*
Sponges > Crusts	Endolithic / bioeroding		*
Sponges > Crusts			*
Sponges > Cup-likes	Barrels		*
Sponges > Cup-likes	Cups	Cup / goblet	*
Sponges > Cup-likes	Cups	Incomplete cup / curled fan	*
Sponges > Cup-likes	Cups	Tables / discs	*
Sponges > Cup-likes	Cups		*
Sponges > Cup-likes	Tubes and chimneys		*
Sponges > Cup-likes			*
Sponges > Erect forms	Branching		*
Sponges > Erect forms	Laminar		*
Sponges > Erect forms	Palmate		*
Sponges > Erect forms	Simple		*
Sponges > Erect forms	Stalked		*
Sponges > Erect forms			*
Sponges > Massive forms	Balls		*
Sponges > Massive forms	Cryptic		*
Sponges > Massive forms	Simple		*
Sponges > Massive forms			*
Sponges			*
Substrate > Consolidated (hard)	Boulders		*
Substrate > Consolidated (hard)	Cobbles		*
Substrate > Consolidated (hard)	Rock		*
Substrate > Consolidated (hard)			*
Substrate > Unconsolidated (soft)	Pebble / gravel	Biologenic	*
Substrate > Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)	*
Substrate > Unconsolidated (soft)	Pebble / gravel	Pebble (10-64mm)	*
Substrate > Unconsolidated (soft)	Pebble / gravel		*
Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)	*
Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Fine sand (no shell fragments)	*
Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Mud / silt (<64um)	*
Substrate > Unconsolidated (soft)	Sand / mud (<2mm)		*
Substrate > Unconsolidated (soft)			*
Substrate			*
Anthropogenic Debris			*
Biota			*
Unscorable			*
			*
			0. Flat substrate, sandy, rubble with few features. ~0 substrate slope
			1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope
			2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope
			3. Good relief structure with some overhangs. >45 substrate slope
			4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope
			5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope
			Unknown
